pre,post,broken,br,local,immediate,reason,status
"\Pi_{3,3}\mid \Delta_{3,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Phi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Pi_{3,3}\mid \Gamma_{5,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Gamma_{2}\;\Pi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Gamma_{2} \Pi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Pi_{3,3}\mid \Lambda_{3,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Phi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Pi_{3,3}\mid \Pi_{3,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Phi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Pi_{3,3}\mid \Sigma_{3,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Lambda_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Lambda_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Psi_{3,4}\mid \Delta_{3,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Phi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Psi_{3,4}\mid \Gamma_{5,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Gamma_{2}\;\Pi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Gamma_{2} \Pi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Psi_{3,4}\mid \Lambda_{3,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Phi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Psi_{3,4}\mid \Pi_{3,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Phi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Psi_{3,4}\mid \Sigma_{3,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Lambda_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Lambda_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Sigma_{1,5}\mid \Phi_{3,4}",\bigl(\Xi_{4}\;\Delta_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"\bigl(\Xi_{4,5} \Delta_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Phi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Sigma_{1,5}\mid \Pi_{5,4}",\bigl(\Xi_{4}\;\Delta_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr),"\bigl(\Xi_{4,5} \Delta_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Gamma_{2} \Psi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Sigma_{1,5}\mid \Psi_{3,4}",\bigl(\Xi_{4}\;\Delta_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr),"\bigl(\Xi_{4,5} \Delta_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Sigma_{5} \Phi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Sigma_{1,5}\mid \Psi_{5,4}",\bigl(\Xi_{4}\;\Delta_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr),"\bigl(\Xi_{4,5} \Delta_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Gamma_{2} \Psi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Sigma_{1,5}\mid \Xi_{5,4}",\bigl(\Xi_{4}\;\Delta_{5}\;\Phi_{0}\bigr)\;\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr),"\bigl(\Xi_{4,5} \Delta_{5,2} \Phi_{0,3}\bigr)\;\bigl(\underline{\Phi_{4}} \Gamma_{2} \Psi_{0}\bigr)",\Phi_{4},image join,True,"need\;(\varepsilon^{-},\,1:\varepsilon^{+});\;\mathrm{avail}\;\Phi_{4,3}",break
"\Phi_{0,3}\mid \Delta_{4,1}",\bigl(\Phi_{3}\;\Sigma_{2}\;\Phi_{1}\bigr)\;\bigl(\Phi_{3}\;\Delta_{2}\;\Xi_{1}\bigr),"\bigl(\Phi_{3,4} \Sigma_{2,3} \Phi_{1,1}\bigr)\;\bigl(\Phi_{3,2} \underline{\Delta_{2}} \Xi_{1}\bigr)",\Delta_{2},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Delta_{2,3}",break
"\Phi_{0,3}\mid \Sigma_{4,1}",\bigl(\Phi_{3}\;\Sigma_{2}\;\Phi_{1}\bigr)\;\bigl(\Phi_{3}\;\Delta_{2}\;\Xi_{1}\bigr),"\bigl(\Phi_{3,4} \Sigma_{2,3} \Phi_{1,1}\bigr)\;\bigl(\Phi_{3,2} \underline{\Delta_{2}} \Xi_{1}\bigr)",\Delta_{2},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Delta_{2,3}",break
"\Pi_{2,2}\mid \Delta_{4,1}",\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr)\;\bigl(\Phi_{3}\;\Delta_{2}\;\Xi_{1}\bigr),"\bigl(\Psi_{3,4} \Gamma_{5,3} \Phi_{1,1}\bigr)\;\bigl(\Phi_{3,2} \underline{\Delta_{2}} \Xi_{1}\bigr)",\Delta_{2},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Delta_{2,3}",break
"\Pi_{2,2}\mid \Sigma_{4,1}",\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr)\;\bigl(\Phi_{3}\;\Delta_{2}\;\Xi_{1}\bigr),"\bigl(\Psi_{3,4} \Gamma_{5,3} \Phi_{1,1}\bigr)\;\bigl(\Phi_{3,2} \underline{\Delta_{2}} \Xi_{1}\bigr)",\Delta_{2},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Delta_{2,3}",break
"\Psi_{0,1}\mid \Delta_{4,1}",\bigl(\Phi_{3}\;\Sigma_{2}\;\Phi_{1}\bigr)\;\bigl(\Phi_{3}\;\Delta_{2}\;\Xi_{1}\bigr),"\bigl(\Phi_{3,4} \Sigma_{2,3} \Phi_{1,1}\bigr)\;\bigl(\Phi_{3,2} \underline{\Delta_{2}} \Xi_{1}\bigr)",\Delta_{2},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Delta_{2,3}",break
"\Psi_{0,1}\mid \Sigma_{4,1}",\bigl(\Phi_{3}\;\Sigma_{2}\;\Phi_{1}\bigr)\;\bigl(\Phi_{3}\;\Delta_{2}\;\Xi_{1}\bigr),"\bigl(\Phi_{3,4} \Sigma_{2,3} \Phi_{1,1}\bigr)\;\bigl(\Phi_{3,2} \underline{\Delta_{2}} \Xi_{1}\bigr)",\Delta_{2},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Delta_{2,3}",break
"\Psi_{2,2}\mid \Delta_{4,1}",\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr)\;\bigl(\Phi_{3}\;\Delta_{2}\;\Xi_{1}\bigr),"\bigl(\Psi_{3,4} \Gamma_{5,3} \Phi_{1,1}\bigr)\;\bigl(\Phi_{3,2} \underline{\Delta_{2}} \Xi_{1}\bigr)",\Delta_{2},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Delta_{2,3}",break
"\Psi_{2,2}\mid \Sigma_{4,1}",\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr)\;\bigl(\Phi_{3}\;\Delta_{2}\;\Xi_{1}\bigr),"\bigl(\Psi_{3,4} \Gamma_{5,3} \Phi_{1,1}\bigr)\;\bigl(\Phi_{3,2} \underline{\Delta_{2}} \Xi_{1}\bigr)",\Delta_{2},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Delta_{2,3}",break
"\Xi_{2,2}\mid \Delta_{4,1}",\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr)\;\bigl(\Phi_{3}\;\Delta_{2}\;\Xi_{1}\bigr),"\bigl(\Psi_{3,4} \Gamma_{5,3} \Phi_{1,1}\bigr)\;\bigl(\Phi_{3,2} \underline{\Delta_{2}} \Xi_{1}\bigr)",\Delta_{2},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Delta_{2,3}",break
"\Xi_{2,2}\mid \Sigma_{4,1}",\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr)\;\bigl(\Phi_{3}\;\Delta_{2}\;\Xi_{1}\bigr),"\bigl(\Psi_{3,4} \Gamma_{5,3} \Phi_{1,1}\bigr)\;\bigl(\Phi_{3,2} \underline{\Delta_{2}} \Xi_{1}\bigr)",\Delta_{2},right word,False,"need\;(\gamma^{-},\,1:\beta^{+});\;\mathrm{avail}\;\Delta_{2,3}",break
"\Delta_{3,3}\mid \Gamma_{4,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Lambda_{3,3}\mid \Gamma_{4,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Phi_{0,5}\mid \Delta_{4,3}",\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Gamma_{1,1} \Delta_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Phi_{0,5}\mid \Lambda_{4,3}",\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Gamma_{1,1} \Delta_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Phi_{0,5}\mid \Phi_{4,3}",\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Gamma_{1,1} \Delta_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Phi_{0,5}\mid \Pi_{4,3}",\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Gamma_{1,1} \Delta_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Phi_{0,5}\mid \Psi_{4,3}",\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Gamma_{1,1} \Delta_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Phi_{0,5}\mid \Sigma_{4,3}",\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Gamma_{1,1} \Delta_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Phi_{3,4}\mid \Gamma_{4,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Pi_{2,4}\mid \Delta_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Pi_{2,4}\mid \Lambda_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Pi_{2,4}\mid \Phi_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Pi_{2,4}\mid \Pi_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Pi_{2,4}\mid \Psi_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Pi_{2,4}\mid \Sigma_{4,3}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Pi_{5,4}\mid \Theta_{4,5}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Pi_{5,4}\mid \Xi_{4,5}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Psi_{0,3}\mid \Delta_{4,3}",\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Gamma_{1,1} \Delta_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
"\Psi_{0,3}\mid \Lambda_{4,3}",\bigl(\Gamma_{1}\;\Delta_{0}\;\Psi_{0}\bigr)\;\bigl(\Sigma_{4}\;\Gamma_{3}\bigr),"\bigl(\Gamma_{1,1} \Delta_{0,3} \Psi_{0,1}\bigr)\;\bigl(\Sigma_{4,1} \underline{\Gamma_{3}}\bigr)",\Gamma_{3},right word,False,"need\;(\delta^{-},\,1:\theta^{-});\;\mathrm{avail}\;\Gamma_{3,3},\;\Gamma_{3,5}",break
